Problema,PC,PM,TC,TM,Tiempo,Iteraciones,Evaluaciones,Fitness
problem_mknap1,0.9,0.01,0,0,94.26666666666667 +- 60.48877543828267,9601.933333333332 +- 14022.414544242183,9617.866666666667 +- 14022.215931755636,3706.6666666666665 +- 355.19138438344737
problem_mknap1,0.9,0.01,0,1,49.666666666666664 +- 38.100894489756286,1696.6333333333334 +- 9120.267485049471,1712.6 +- 9120.084911885417,3780.0 +- 109.54451150103323
problem_mknap1,0.9,0.01,1,0,89.0 +- 72.61091397018913,8363.066666666668 +- 14345.296787673538,8379.0 +- 14345.096689617772,3706.6666666666665 +- 355.19138438344737
problem_mknap1,0.9,0.01,1,1,40.2 +- 6.359353686527022,26.966666666666665 +- 26.00727130860791,42.96666666666667 +- 26.00727130860791,3800.0 +- 0.0
problem_mknap1,0.9,0.1,0,0,43.733333333333334 +- 9.526490591424826,70.93333333333334 +- 111.91219875368841,86.93333333333334 +- 111.91219875368841,3800.0 +- 0.0
problem_mknap1,0.9,0.1,0,1,49.53333333333333 +- 42.78473247939426,1696.6333333333334 +- 9120.267485049471,1712.6 +- 9120.084911885417,3780.0 +- 109.54451150103323
problem_mknap1,0.9,0.1,1,0,44.0 +- 10.922927484314185,63.733333333333334 +- 101.66338415654339,79.73333333333333 +- 101.66338415654339,3800.0 +- 0.0
problem_mknap1,0.9,0.1,1,1,43.766666666666666 +- 7.681968737124679,26.966666666666665 +- 26.00727130860791,42.96666666666667 +- 26.00727130860791,3800.0 +- 0.0
problem_mknap1,0.9,0.3,0,0,41.56666666666667 +- 7.536958745172801,33.96666666666667 +- 35.1131013306639,49.96666666666667 +- 35.1131013306639,3800.0 +- 0.0
problem_mknap1,0.9,0.3,0,1,47.86666666666667 +- 38.475906776824,1696.6333333333334 +- 9120.267485049471,1712.6 +- 9120.084911885417,3780.0 +- 109.54451150103323
problem_mknap1,0.9,0.3,1,0,43.36666666666667 +- 10.111391095445645,45.233333333333334 +- 47.34589035315877,61.233333333333334 +- 47.34589035315877,3800.0 +- 0.0
problem_mknap1,0.9,0.3,1,1,44.166666666666664 +- 8.698328548648291,26.966666666666665 +- 26.00727130860791,42.96666666666667 +- 26.00727130860791,3800.0 +- 0.0
problem_mknap1,0.75,0.01,0,0,94.83333333333333 +- 56.828285413062616,8501.1 +- 12095.822243579634,8517.066666666668 +- 12095.703982116482,3753.3333333333335 +- 255.6038601690775
problem_mknap1,0.75,0.01,0,1,46.7 +- 33.052883436218934,1693.5333333333333 +- 9120.84059470524,1709.5 +- 9120.658021293162,3780.0 +- 109.54451150103323
problem_mknap1,0.75,0.01,1,0,93.03333333333333 +- 55.0231821572748,6735.033333333334 +- 11365.797951213812,6751.033333333334 +- 11365.797951213812,3800.0 +- 0.0
problem_mknap1,0.75,0.01,1,1,43.63333333333333 +- 9.949816610104563,18.833333333333332 +- 23.233571627597698,34.833333333333336 +- 23.233571627597698,3800.0 +- 0.0
