Problema,AnnealingFactor,Tiempo,Iteraciones,Evaluaciones,Fitness
problem_mknap1,0.99,44.1 +- 7.526275811196856,94.73333333333333 +- 103.91871270649341,96.73333333333333 +- 103.91871270649341,3800.0 +- 0.0
problem_mknap1,0.9,46.9 +- 13.455802491477616,94.53333333333333 +- 99.6406416642545,96.53333333333333 +- 99.6406416642545,3800.0 +- 0.0
problem_mknap1,0.75,43.86666666666667 +- 9.919445664897337,96.1 +- 137.67762195145184,98.1 +- 137.67762195145184,3800.0 +- 0.0
problem_mknap1,0.5,51.833333333333336 +- 18.04416675889991,534.4 +- 741.1568124827937,536.4 +- 741.1568124827937,3800.0 +- 0.0
problem_mknap2,0.99,72.7 +- 17.848307173665443,1464.5666666666666 +- 1587.1376900339922,1466.5666666666666 +- 1587.1376900339922,8706.100000000004 +- 3.700170984052295e-12
problem_mknap2,0.9,75.6 +- 24.693430649494193,2441.9 +- 2870.046970058997,2443.9 +- 2870.046970058997,8706.100000000004 +- 3.700170984052295e-12
problem_mknap2,0.75,90.2 +- 32.315684245825,4067.2 +- 3375.3861633484457,4069.2 +- 3375.3861633484457,8706.100000000004 +- 3.700170984052295e-12
problem_mknap2,0.5,105.6 +- 37.366405712378445,6941.966666666666 +- 6569.156653390266,6943.966666666666 +- 6569.156653390266,8706.100000000004 +- 3.700170984052295e-12
problem_mknap3,0.99,118.0 +- 33.62162686580541,11111.9 +- 7754.293633096174,11113.9 +- 7754.293633096174,4015.0 +- 0.0
problem_mknap3,0.9,145.0 +- 65.30300727088064,18160.466666666667 +- 16881.070273173325,18162.4 +- 16880.940202202743,4014.3333333333335 +- 2.537081317024623
problem_mknap3,0.75,196.96666666666667 +- 52.90947593463917,37949.63333333333 +- 17027.05843039114,37951.1 +- 17026.668000420745,4008.0 +- 7.943767889097847
problem_mknap3,0.5,221.4 +- 52.224053118634245,40764.63333333333 +- 14907.108895407595,40765.96666666667 +- 14906.681682787557,3999.0 +- 20.06025406378115
