Problem,PC_0.5_PM_0.01_TC_0_TM_0,PC_0.5_PM_0.01_TC_0_TM_1,PC_0.5_PM_0.01_TC_1_TM_0,PC_0.5_PM_0.01_TC_1_TM_1,PC_0.5_PM_0.1_TC_0_TM_0,PC_0.5_PM_0.1_TC_0_TM_1,PC_0.5_PM_0.1_TC_1_TM_0,PC_0.5_PM_0.1_TC_1_TM_1,PC_0.5_PM_0.3_TC_0_TM_0,PC_0.5_PM_0.3_TC_0_TM_1,PC_0.5_PM_0.3_TC_1_TM_0,PC_0.5_PM_0.3_TC_1_TM_1,PC_0.75_PM_0.01_TC_0_TM_0,PC_0.75_PM_0.01_TC_0_TM_1,PC_0.75_PM_0.01_TC_1_TM_0,PC_0.75_PM_0.01_TC_1_TM_1,PC_0.75_PM_0.1_TC_0_TM_0,PC_0.75_PM_0.1_TC_0_TM_1,PC_0.75_PM_0.1_TC_1_TM_0,PC_0.75_PM_0.1_TC_1_TM_1,PC_0.75_PM_0.3_TC_0_TM_0,PC_0.75_PM_0.3_TC_0_TM_1,PC_0.75_PM_0.3_TC_1_TM_0,PC_0.75_PM_0.3_TC_1_TM_1,PC_0.9_PM_0.01_TC_0_TM_0,PC_0.9_PM_0.01_TC_0_TM_1,PC_0.9_PM_0.01_TC_1_TM_0,PC_0.9_PM_0.01_TC_1_TM_1,PC_0.9_PM_0.1_TC_0_TM_0,PC_0.9_PM_0.1_TC_0_TM_1,PC_0.9_PM_0.1_TC_1_TM_0,PC_0.9_PM_0.1_TC_1_TM_1,PC_0.9_PM_0.3_TC_0_TM_0,PC_0.9_PM_0.3_TC_0_TM_1,PC_0.9_PM_0.3_TC_1_TM_0,PC_0.9_PM_0.3_TC_1_TM_1
problem_mknap1,8706.6667 +- 12940.9515,1720.2667 +- 9118.6806,9560.6667 +- 12582.7376,1710.6333 +- 9120.5081,82.4667 +- 98.0826,1720.2667 +- 9118.6806,85.4333 +- 94.7311,1710.6333 +- 9120.5081,45.3333 +- 34.0955,1720.2667 +- 9118.6806,45.4667 +- 35.8625,1710.6333 +- 9120.5081,8517.0667 +- 12095.7040,1709.5000 +- 9120.6580,6751.0333 +- 11365.7980,34.8333 +- 23.2336,101.6000 +- 89.6024,1709.5000 +- 9120.6580,161.6000 +- 241.5144,34.8333 +- 23.2336,58.6000 +- 51.5749,1709.5000 +- 9120.6580,42.8000 +- 31.7983,34.8333 +- 23.2336,9617.8667 +- 14022.2159,1712.6000 +- 9120.0849,8379.0000 +- 14345.0967,42.9667 +- 26.0073,86.9333 +- 111.9122,1712.6000 +- 9120.0849,79.7333 +- 101.6634,42.9667 +- 26.0073,49.9667 +- 35.1131,1712.6000 +- 9120.0849,61.2333 +- 47.3459,42.9667 +- 26.0073
problem_mknap2,42056.0333 +- 18080.8706,43343.6000 +- 17260.6775,42959.0000 +- 16402.9956,43366.6333 +- 17200.9827,25324.0000 +- 22453.9309,43343.6000 +- 17260.6775,16582.3000 +- 19163.1298,43366.6333 +- 17200.9827,441.0667 +- 385.6938,43343.6000 +- 17260.6775,559.0000 +- 361.1888,43366.6333 +- 17200.9827,42779.4667 +- 16589.2470,46671.5000 +- 12667.0133,40665.0000 +- 19153.8833,46671.5000 +- 12667.0137,20976.5333 +- 19465.7334,46671.5000 +- 12667.0133,21958.9333 +- 20642.4821,46671.5000 +- 12667.0137,503.6333 +- 251.1261,46671.5000 +- 12667.0133,455.1000 +- 423.1682,46671.5000 +- 12667.0137,40266.0000 +- 19813.3509,46675.2000 +- 12652.9411,44341.3667 +- 14899.1406,45009.7000 +- 15226.8457,16843.0667 +- 20017.0548,46675.2000 +- 12652.9411,26883.7000 +- 21030.7629,45009.7000 +- 15226.8457,440.5000 +- 309.3325,46675.2000 +- 12652.9411,486.9000 +- 321.3841,45009.7000 +- 15226.8457
problem_mknap3,45850.9667 +- 10977.5698,33443.8667 +- 23814.4183,41701.5000 +- 15436.7659,40059.8667 +- 20220.2019,2161.5333 +- 2865.2878,33443.8667 +- 23814.4183,2629.3333 +- 3458.2247,40059.8667 +- 20220.2019,2824.3333 +- 1540.1789,33443.8667 +- 23814.4183,2697.3333 +- 2442.5034,40059.8667 +- 20220.2019,44121.9667 +- 13681.5806,23487.5333 +- 25224.3653,44342.4333 +- 13427.4466,26786.5000 +- 25240.6622,2476.5333 +- 3419.6334,23487.5333 +- 25224.3653,2087.3667 +- 2833.8883,26786.5000 +- 25240.6622,3126.4333 +- 3225.5865,23487.5333 +- 25224.3653,2643.3333 +- 1846.3013,26786.5000 +- 25240.6622,45849.0000 +- 9024.1934,36742.7333 +- 22360.5919,39859.8667 +- 17123.8775,28458.5000 +- 25054.9045,2303.8000 +- 3833.2487,36742.7333 +- 22360.5919,2661.3667 +- 3855.4638,28458.5000 +- 25054.9045,3240.8333 +- 2269.0696,36742.7333 +- 22360.5919,2545.0333 +- 3709.7826,28458.5000 +- 25054.9045
problem_mknap4,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,9595.3333 +- 7797.9088,50000.0000 +- 0.0000,7796.0667 +- 5986.1435,50000.0000 +- 0.0000,19529.8000 +- 16537.2563,50000.0000 +- 0.0000,25562.0000 +- 16006.3750,50000.0000 +- 0.0000,48782.1000 +- 6670.7130,50000.0000 +- 0.0000,48508.6000 +- 8168.7342,48350.1667 +- 9036.5093,10228.5000 +- 7607.8963,50000.0000 +- 0.0000,8609.3333 +- 8937.8277,48350.1667 +- 9036.5093,19205.8667 +- 15403.1023,50000.0000 +- 0.0000,21639.0667 +- 17650.6912,48350.1667 +- 9036.5093,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,48340.6667 +- 9088.5430,9247.9667 +- 5826.6850,50000.0000 +- 0.0000,6662.9667 +- 6644.2307,48340.6667 +- 9088.5430,21666.8667 +- 14181.5280,50000.0000 +- 0.0000,20190.7000 +- 14970.2497,48340.6667 +- 9088.5430
problem_mknap5,47682.1333 +- 8849.2714,50000.0000 +- 0.0000,45893.4333 +- 11115.5036,50000.0000 +- 0.0000,24930.5000 +- 22289.1836,50000.0000 +- 0.0000,20878.4333 +- 20133.4874,50000.0000 +- 0.0000,48672.0000 +- 5045.3427,50000.0000 +- 0.0000,49127.9000 +- 4776.6884,50000.0000 +- 0.0000,45367.3667 +- 11711.4197,50000.0000 +- 0.0000,45396.9000 +- 11212.7881,50000.0000 +- 0.0000,37274.5667 +- 18757.6566,50000.0000 +- 0.0000,34364.7000 +- 20434.7214,50000.0000 +- 0.0000,49369.9667 +- 3450.8347,50000.0000 +- 0.0000,48912.5333 +- 5956.3002,50000.0000 +- 0.0000,47306.0333 +- 10312.6358,50000.0000 +- 0.0000,45899.3333 +- 11768.3976,50000.0000 +- 0.0000,32936.6333 +- 20719.8221,50000.0000 +- 0.0000,35115.7667 +- 19722.3663,50000.0000 +- 0.0000,49948.0667 +- 284.4506,50000.0000 +- 0.0000,47225.8000 +- 10613.4973,50000.0000 +- 0.0000
problem_mknap6,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,48971.6333 +- 5632.5962,50000.0000 +- 0.0000,48467.6000 +- 8393.3005,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,48501.3333 +- 6159.2174,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,48649.9333 +- 7394.6197,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000
problem_mknap7,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,48879.6000 +- 6136.6835,50000.0000 +- 0.0000,49170.0333 +- 4545.9147,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,49691.4667 +- 1689.9067,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,48828.4667 +- 6416.7523,50000.0000 +- 0.0000,48936.0667 +- 4430.7138,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000
problem_mknap8,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000
problem_mknap9,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000
problem_mknap10,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000
