Problem,0.5,0.75,0.9,0.99
problem_mknap1,536.4000 +- 741.1568,98.1000 +- 137.6776,96.5333 +- 99.6406,96.7333 +- 103.9187
problem_mknap2,6943.9667 +- 6569.1567,4069.2000 +- 3375.3862,2443.9000 +- 2870.0470,1466.5667 +- 1587.1377
problem_mknap3,40765.9667 +- 14906.6817,37951.1000 +- 17026.6680,18162.4000 +- 16880.9402,11113.9000 +- 7754.2936
problem_mknap4,48654.1667 +- 7371.4328,48501.2000 +- 8209.2657,47834.0333 +- 9369.0141,44764.6667 +- 11243.8447
problem_mknap5,50000.0000 +- 0.0000,50000.0000 +- 0.0000,48384.4667 +- 8848.6405,46564.4000 +- 9631.2068
problem_mknap6,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000
problem_mknap7,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000
problem_mknap8,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000
problem_mknap9,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000
problem_mknap10,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000
problem_mknap11,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000
problem_mknap12,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000
problem_mknap13,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000
problem_mknap14,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000
problem_mknap15,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000,50000.0000 +- 0.0000
