Problem,PC_0.5_PM_0.01_TC_0_TM_0,PC_0.5_PM_0.01_TC_0_TM_1,PC_0.5_PM_0.01_TC_1_TM_0,PC_0.5_PM_0.01_TC_1_TM_1,PC_0.5_PM_0.1_TC_0_TM_0,PC_0.5_PM_0.1_TC_0_TM_1,PC_0.5_PM_0.1_TC_1_TM_0,PC_0.5_PM_0.1_TC_1_TM_1,PC_0.5_PM_0.3_TC_0_TM_0,PC_0.5_PM_0.3_TC_0_TM_1,PC_0.5_PM_0.3_TC_1_TM_0,PC_0.5_PM_0.3_TC_1_TM_1,PC_0.75_PM_0.01_TC_0_TM_0,PC_0.75_PM_0.01_TC_0_TM_1,PC_0.75_PM_0.01_TC_1_TM_0,PC_0.75_PM_0.01_TC_1_TM_1,PC_0.75_PM_0.1_TC_0_TM_0,PC_0.75_PM_0.1_TC_0_TM_1,PC_0.75_PM_0.1_TC_1_TM_0,PC_0.75_PM_0.1_TC_1_TM_1,PC_0.75_PM_0.3_TC_0_TM_0,PC_0.75_PM_0.3_TC_0_TM_1,PC_0.75_PM_0.3_TC_1_TM_0,PC_0.75_PM_0.3_TC_1_TM_1,PC_0.9_PM_0.01_TC_0_TM_0,PC_0.9_PM_0.01_TC_0_TM_1,PC_0.9_PM_0.01_TC_1_TM_0,PC_0.9_PM_0.01_TC_1_TM_1,PC_0.9_PM_0.1_TC_0_TM_0,PC_0.9_PM_0.1_TC_0_TM_1,PC_0.9_PM_0.1_TC_1_TM_0,PC_0.9_PM_0.1_TC_1_TM_1,PC_0.9_PM_0.3_TC_0_TM_0,PC_0.9_PM_0.3_TC_0_TM_1,PC_0.9_PM_0.3_TC_1_TM_0,PC_0.9_PM_0.3_TC_1_TM_1
problem_mknap1,3706.6667 +- 355.1914,3780.0000 +- 109.5445,3800.0000 +- 0.0000,3780.0000 +- 109.5445,3800.0000 +- 0.0000,3780.0000 +- 109.5445,3800.0000 +- 0.0000,3780.0000 +- 109.5445,3800.0000 +- 0.0000,3780.0000 +- 109.5445,3800.0000 +- 0.0000,3780.0000 +- 109.5445,3753.3333 +- 255.6039,3780.0000 +- 109.5445,3800.0000 +- 0.0000,3800.0000 +- 0.0000,3800.0000 +- 0.0000,3780.0000 +- 109.5445,3800.0000 +- 0.0000,3800.0000 +- 0.0000,3800.0000 +- 0.0000,3780.0000 +- 109.5445,3800.0000 +- 0.0000,3800.0000 +- 0.0000,3706.6667 +- 355.1914,3780.0000 +- 109.5445,3706.6667 +- 355.1914,3800.0000 +- 0.0000,3800.0000 +- 0.0000,3780.0000 +- 109.5445,3800.0000 +- 0.0000,3800.0000 +- 0.0000,3800.0000 +- 0.0000,3780.0000 +- 109.5445,3800.0000 +- 0.0000,3800.0000 +- 0.0000
problem_mknap2,8398.4333 +- 139.9449,8299.0633 +- 393.0126,8398.4333 +- 139.9449,8373.3800 +- 197.7713,8583.0333 +- 177.0179,8299.0633 +- 393.0126,8644.5667 +- 139.9449,8373.3800 +- 197.7713,8706.1000 +- 0.0000,8299.0633 +- 393.0126,8706.1000 +- 0.0000,8373.3800 +- 197.7713,8410.7400 +- 150.2046,8318.0500 +- 332.4720,8410.7400 +- 150.2046,8360.6267 +- 212.3991,8619.9533 +- 158.8236,8318.0500 +- 332.4720,8607.6467 +- 166.0575,8360.6267 +- 212.3991,8706.1000 +- 0.0000,8318.0500 +- 332.4720,8706.1000 +- 0.0000,8360.6267 +- 212.3991,8410.7400 +- 150.2046,8268.3900 +- 435.8740,8386.1267 +- 127.6494,8387.3633 +- 184.6547,8619.9533 +- 158.8236,8268.3900 +- 435.8740,8595.3400 +- 172.0810,8387.3633 +- 184.6547,8706.1000 +- 0.0000,8268.3900 +- 435.8740,8706.1000 +- 0.0000,8387.3633 +- 184.6547
problem_mknap3,3846.8333 +- 266.2915,3963.5000 +- 52.8523,3857.3333 +- 271.7844,3856.0000 +- 267.0800,4015.0000 +- 0.0000,3963.5000 +- 52.8523,4015.0000 +- 0.0000,3856.0000 +- 267.0800,4015.0000 +- 0.0000,3963.5000 +- 52.8523,4015.0000 +- 0.0000,3856.0000 +- 267.0800,3879.0000 +- 206.3868,3974.5000 +- 59.3841,3906.5000 +- 228.9976,3927.5000 +- 185.2200,4015.0000 +- 0.0000,3974.5000 +- 59.3841,4015.0000 +- 0.0000,3927.5000 +- 185.2200,4015.0000 +- 0.0000,3974.5000 +- 59.3841,4015.0000 +- 0.0000,3927.5000 +- 185.2200,3874.6667 +- 223.6297,3955.0000 +- 55.1800,3950.5000 +- 134.0635,4000.0000 +- 29.3316,4015.0000 +- 0.0000,3955.0000 +- 55.1800,4015.0000 +- 0.0000,4000.0000 +- 29.3316,4015.0000 +- 0.0000,3955.0000 +- 55.1800,4015.0000 +- 0.0000,4000.0000 +- 29.3316
problem_mknap4,5646.3333 +- 346.5070,5634.0000 +- 352.6755,5631.8333 +- 408.6531,5663.0000 +- 433.6624,6120.0000 +- 0.0000,5634.0000 +- 352.6755,6120.0000 +- 0.0000,5663.0000 +- 433.6624,6119.0000 +- 3.0513,5634.0000 +- 352.6755,6118.0000 +- 4.8423,5663.0000 +- 433.6624,5639.0000 +- 363.5467,5733.6667 +- 368.7255,5738.3333 +- 293.6522,5757.6667 +- 373.6717,6120.0000 +- 0.0000,5733.6667 +- 368.7255,6120.0000 +- 0.0000,5757.6667 +- 373.6717,6118.6667 +- 3.4575,5733.6667 +- 368.7255,6118.0000 +- 4.8423,5757.6667 +- 373.6717,5682.6667 +- 355.8034,5836.3333 +- 249.1293,5617.1667 +- 485.8439,5781.1667 +- 455.8900,6120.0000 +- 0.0000,5836.3333 +- 249.1293,6120.0000 +- 0.0000,5781.1667 +- 455.8900,6118.6667 +- 4.3417,5836.3333 +- 249.1293,6119.3333 +- 2.5371,5781.1667 +- 455.8900
problem_mknap5,11427.0000 +- 772.5468,11247.0000 +- 801.6487,11687.8333 +- 684.7875,11661.1667 +- 767.5192,12390.6667 +- 18.7420,11247.0000 +- 801.6487,12393.0000 +- 13.9333,11661.1667 +- 767.5192,12351.6667 +- 30.5223,11247.0000 +- 801.6487,12327.0000 +- 34.7553,11661.1667 +- 767.5192,11472.0000 +- 808.6170,11454.1667 +- 794.0274,11709.5000 +- 731.6530,11845.0000 +- 559.9908,12389.0000 +- 13.2222,11454.1667 +- 794.0274,12389.6667 +- 12.4522,11845.0000 +- 559.9908,12336.6667 +- 42.5346,11454.1667 +- 794.0274,12331.6667 +- 42.5954,11845.0000 +- 559.9908,11599.0000 +- 716.0553,11655.6667 +- 750.2617,11727.6667 +- 653.8108,11791.1667 +- 721.1912,12391.0000 +- 11.5520,11655.6667 +- 750.2617,12392.0000 +- 10.9545,11791.1667 +- 721.1912,12327.3333 +- 41.0158,11655.6667 +- 750.2617,12334.5000 +- 40.6064,11791.1667 +- 721.1912
problem_mknap6,10317.0000 +- 264.3032,10289.8667 +- 206.3022,10278.0667 +- 401.7128,10295.2333 +- 233.5710,10570.2333 +- 29.4146,10289.8667 +- 206.3022,10557.6667 +- 37.3403,10295.2333 +- 233.5710,10437.0000 +- 47.6380,10289.8667 +- 206.3022,10429.2000 +- 53.5353,10295.2333 +- 233.5710,10322.7333 +- 221.6172,10288.8667 +- 237.1961,10263.1333 +- 450.3144,10300.2000 +- 241.5111,10548.5667 +- 49.3514,10288.8667 +- 237.1961,10561.0333 +- 41.4234,10300.2000 +- 241.5111,10452.6000 +- 46.2248,10288.8667 +- 237.1961,10435.6667 +- 42.3372,10300.2000 +- 241.5111,10323.0667 +- 238.4937,10291.1333 +- 247.0496,10377.1000 +- 175.2599,10347.2333 +- 248.0582,10563.4667 +- 41.2843,10291.1333 +- 247.0496,10549.6667 +- 42.6164,10347.2333 +- 248.0582,10437.5667 +- 40.3662,10291.1333 +- 247.0496,10440.4000 +- 43.5673,10347.2333 +- 248.0582
problem_mknap7,15578.3333 +- 724.1550,15621.0000 +- 641.9823,15944.4000 +- 552.2870,15605.8000 +- 746.3475,16445.9667 +- 54.1540,15621.0000 +- 641.9823,16416.7000 +- 243.4086,15605.8000 +- 746.3475,16156.9667 +- 70.8561,15621.0000 +- 641.9823,16177.8000 +- 54.8430,15605.8000 +- 746.3475,15807.4000 +- 618.5571,15838.1667 +- 616.5319,15947.0667 +- 562.6032,15898.6000 +- 691.5832,16400.7667 +- 242.5617,15838.1667 +- 616.5319,16445.2667 +- 59.9678,15898.6000 +- 691.5832,16146.6333 +- 58.2074,15838.1667 +- 616.5319,16161.6333 +- 69.4071,15898.6000 +- 691.5832,15843.9667 +- 592.2205,15777.2333 +- 532.8145,15885.1000 +- 698.2396,16007.0333 +- 517.0312,16446.0667 +- 44.3605,15777.2333 +- 532.8145,16463.5333 +- 61.2596,16007.0333 +- 517.0312,16148.6667 +- 67.5402,15777.2333 +- 532.8145,16149.5333 +- 65.6862,16007.0333 +- 517.0312
problem_mknap8,23048.0000 +- 375.8781,23032.4000 +- 333.7357,22893.9333 +- 498.8442,22851.5667 +- 391.4463,22340.8000 +- 289.6412,23032.4000 +- 333.7357,22336.6000 +- 287.0180,22851.5667 +- 391.4463,18020.9000 +- 3535.5977,23032.4000 +- 333.7357,18785.6333 +- 647.2338,22851.5667 +- 391.4463,22940.2667 +- 343.1635,23044.8000 +- 315.2338,22864.8667 +- 448.1123,22964.4667 +- 411.9657,22262.7000 +- 309.4469,23044.8000 +- 315.2338,22528.0000 +- 252.8208,22964.4667 +- 411.9657,18483.2000 +- 911.8698,23044.8000 +- 315.2338,18770.7000 +- 791.6399,22964.4667 +- 411.9657,22973.2000 +- 373.5344,22816.3333 +- 401.0561,23005.5000 +- 451.7111,22921.4667 +- 338.8957,22404.5000 +- 250.4940,22816.3333 +- 401.0561,22386.7333 +- 322.2099,22921.4667 +- 338.8957,18634.5667 +- 608.5527,22816.3333 +- 401.0561,18990.7333 +- 570.1756,22921.4667 +- 338.8957
problem_mknap9,22940.5667 +- 392.2997,22973.1333 +- 543.0128,22962.9000 +- 366.8289,22909.3667 +- 447.6570,22129.4667 +- 253.2202,22973.1333 +- 543.0128,22207.0333 +- 307.0509,22909.3667 +- 447.6570,18252.0667 +- 1184.2698,22973.1333 +- 543.0128,18534.3333 +- 721.7659,22909.3667 +- 447.6570,22809.9667 +- 478.9436,23056.3333 +- 410.4359,22757.0667 +- 426.8528,22870.7000 +- 346.7703,22120.5000 +- 317.0005,23056.3333 +- 410.4359,22233.3333 +- 303.9703,22870.7000 +- 346.7703,18471.1000 +- 728.9196,23056.3333 +- 410.4359,18521.0333 +- 647.9970,22870.7000 +- 346.7703,22851.0000 +- 307.4076,23037.2667 +- 303.6910,22926.7333 +- 346.0643,22891.4667 +- 435.1268,22192.6667 +- 270.4646,23037.2667 +- 303.6910,22291.0667 +- 271.9116,22891.4667 +- 435.1268,18495.6333 +- 660.8140,23037.2667 +- 303.6910,18532.7000 +- 651.9976,22891.4667 +- 435.1268
problem_mknap10,22295.2000 +- 495.5780,22382.8667 +- 447.6580,22290.0333 +- 379.7561,22285.9333 +- 386.7331,21496.3000 +- 300.2128,22382.8667 +- 447.6580,21516.9667 +- 288.8174,22285.9333 +- 386.7331,17390.4333 +- 661.4196,22382.8667 +- 447.6580,17298.7667 +- 904.0286,22285.9333 +- 386.7331,22419.0667 +- 461.7930,22562.2667 +- 343.0913,22236.6667 +- 462.3881,22271.9000 +- 407.6409,21581.8667 +- 285.0292,22562.2667 +- 343.0913,21613.5667 +- 296.4517,22271.9000 +- 407.6409,17795.8333 +- 732.2204,22562.2667 +- 343.0913,16804.2000 +- 3250.1527,22271.9000 +- 407.6409,22371.2667 +- 413.9541,22433.8333 +- 333.0580,22321.3333 +- 372.7821,22413.9667 +- 388.4578,21572.4333 +- 352.4799,22433.8333 +- 333.0580,21667.1667 +- 289.8638,22413.9667 +- 388.4578,17593.9667 +- 539.2283,22433.8333 +- 333.0580,17688.1667 +- 563.0044,22413.9667 +- 388.4578
