Problem,0.5,0.75,0.9,0.99
problem_mknap1,3800.0000 +- 0.0000,3800.0000 +- 0.0000,3800.0000 +- 0.0000,3800.0000 +- 0.0000
problem_mknap2,8706.1000 +- 0.0000,8706.1000 +- 0.0000,8706.1000 +- 0.0000,8706.1000 +- 0.0000
problem_mknap3,3999.0000 +- 20.0603,4008.0000 +- 7.9438,4014.3333 +- 2.5371,4015.0000 +- 0.0000
problem_mknap4,5952.5000 +- 94.3923,6027.6667 +- 67.1942,6054.5000 +- 52.1330,6099.6667 +- 19.9107
problem_mknap5,11788.3333 +- 183.3422,11864.6667 +- 200.8513,12082.8333 +- 180.2713,12276.5000 +- 114.5843
problem_mknap6,10391.5667 +- 83.0146,10365.6333 +- 60.3915,10425.2333 +- 75.2553,10488.6000 +- 68.0657
problem_mknap7,15789.5333 +- 250.0175,15785.8000 +- 190.5094,15991.8000 +- 186.4498,16172.8667 +- 176.4250
problem_mknap8,20324.2333 +- 385.4660,20197.0667 +- 375.7584,20330.0000 +- 439.3204,21228.7333 +- 367.9183
problem_mknap9,20162.0333 +- 368.4218,20121.8667 +- 312.6166,20207.7000 +- 378.5655,21011.6333 +- 403.8887
problem_mknap10,19128.6333 +- 370.9124,19104.7000 +- 399.7310,19359.6667 +- 362.1584,20132.4333 +- 290.8252
problem_mknap11,19864.7333 +- 331.2741,20026.4667 +- 327.0370,20165.1000 +- 330.5027,20796.5000 +- 213.1111
problem_mknap12,19889.1333 +- 438.2063,19891.6000 +- 338.0935,20230.6000 +- 326.8718,21031.6667 +- 454.5438
problem_mknap13,20265.3667 +- 292.8914,20189.5333 +- 311.2098,20627.9000 +- 437.9512,21326.1667 +- 265.1401
problem_mknap14,20776.4333 +- 309.4471,20778.0000 +- 355.0920,21093.6667 +- 441.7886,22183.8333 +- 374.7711
problem_mknap15,19506.8667 +- 315.8788,19575.0333 +- 333.3518,19718.1000 +- 281.6777,20367.3000 +- 290.3934
