Problem,PC_0.5_PM_0.01_TC_0_TM_0,PC_0.5_PM_0.01_TC_0_TM_1,PC_0.5_PM_0.01_TC_1_TM_0,PC_0.5_PM_0.01_TC_1_TM_1,PC_0.5_PM_0.1_TC_0_TM_0,PC_0.5_PM_0.1_TC_0_TM_1,PC_0.5_PM_0.1_TC_1_TM_0,PC_0.5_PM_0.1_TC_1_TM_1,PC_0.5_PM_0.3_TC_0_TM_0,PC_0.5_PM_0.3_TC_0_TM_1,PC_0.5_PM_0.3_TC_1_TM_0,PC_0.5_PM_0.3_TC_1_TM_1,PC_0.75_PM_0.01_TC_0_TM_0,PC_0.75_PM_0.01_TC_0_TM_1,PC_0.75_PM_0.01_TC_1_TM_0,PC_0.75_PM_0.01_TC_1_TM_1,PC_0.75_PM_0.1_TC_0_TM_0,PC_0.75_PM_0.1_TC_0_TM_1,PC_0.75_PM_0.1_TC_1_TM_0,PC_0.75_PM_0.1_TC_1_TM_1,PC_0.75_PM_0.3_TC_0_TM_0,PC_0.75_PM_0.3_TC_0_TM_1,PC_0.75_PM_0.3_TC_1_TM_0,PC_0.75_PM_0.3_TC_1_TM_1,PC_0.9_PM_0.01_TC_0_TM_0,PC_0.9_PM_0.01_TC_0_TM_1,PC_0.9_PM_0.01_TC_1_TM_0,PC_0.9_PM_0.01_TC_1_TM_1,PC_0.9_PM_0.1_TC_0_TM_0,PC_0.9_PM_0.1_TC_0_TM_1,PC_0.9_PM_0.1_TC_1_TM_0,PC_0.9_PM_0.1_TC_1_TM_1,PC_0.9_PM_0.3_TC_0_TM_0,PC_0.9_PM_0.3_TC_0_TM_1,PC_0.9_PM_0.3_TC_1_TM_0,PC_0.9_PM_0.3_TC_1_TM_1
problem_mknap1,98.7667 +- 67.8562,53.0333 +- 32.6850,96.8667 +- 55.5392,48.2000 +- 35.1160,46.3000 +- 10.5116,51.9333 +- 34.3922,45.2000 +- 10.2701,49.1333 +- 29.9755,42.8000 +- 8.8528,50.6667 +- 37.5393,42.6667 +- 6.4719,52.2333 +- 41.1797,94.8333 +- 56.8283,46.7000 +- 33.0529,93.0333 +- 55.0232,43.6333 +- 9.9498,46.8333 +- 9.7736,50.7000 +- 43.1262,49.9667 +- 12.7021,42.5333 +- 10.1700,43.4000 +- 8.6007,51.7000 +- 40.9357,42.5333 +- 7.8509,42.8000 +- 10.5288,94.2667 +- 60.4888,49.6667 +- 38.1009,89.0000 +- 72.6109,40.2000 +- 6.3594,43.7333 +- 9.5265,49.5333 +- 42.7847,44.0000 +- 10.9229,43.7667 +- 7.6820,41.5667 +- 7.5370,47.8667 +- 38.4759,43.3667 +- 10.1114,44.1667 +- 8.6983
problem_mknap2,224.0000 +- 66.3387,224.4000 +- 73.6162,242.6000 +- 65.2156,225.3000 +- 68.7706,172.7667 +- 94.4402,226.1333 +- 74.4866,147.5333 +- 83.5727,221.9000 +- 64.6846,60.6000 +- 15.4129,207.1333 +- 68.3282,65.0333 +- 12.7048,212.1333 +- 63.8326,213.5333 +- 56.7497,218.4000 +- 50.2309,212.9667 +- 77.9485,223.5667 +- 51.6164,150.4333 +- 78.5018,231.7667 +- 51.6438,152.9667 +- 81.7433,229.8667 +- 49.5989,65.7000 +- 18.7491,225.0667 +- 49.6366,63.8667 +- 13.6779,245.0000 +- 58.7115,211.7667 +- 74.9127,215.7000 +- 48.1901,231.7667 +- 58.8632,218.4000 +- 59.6586,132.2000 +- 73.1434,229.4000 +- 52.3415,180.3000 +- 86.8567,239.4333 +- 66.3739,64.2000 +- 17.5133,221.0333 +- 45.7674,64.5000 +- 16.1283,211.3000 +- 56.9338
problem_mknap3,231.4333 +- 42.5073,177.0000 +- 88.5177,229.2667 +- 60.6732,211.7000 +- 80.0453,80.2667 +- 27.3230,184.1000 +- 87.9527,82.3000 +- 30.2953,208.8000 +- 79.7701,91.4667 +- 26.4154,186.9000 +- 93.5316,93.6000 +- 28.5423,224.4667 +- 82.4754,238.3667 +- 45.2278,154.5000 +- 100.2781,255.9667 +- 45.3283,174.9333 +- 99.8295,92.1333 +- 26.6416,158.8667 +- 98.9360,82.2000 +- 31.6254,155.0667 +- 94.8494,82.1000 +- 22.4934,145.0333 +- 92.5149,88.0000 +- 23.4917,158.0667 +- 96.0693,231.6667 +- 30.6913,186.2333 +- 79.4658,220.9667 +- 64.4625,173.5000 +- 104.2579,85.1000 +- 28.9045,195.0000 +- 86.9324,83.6667 +- 32.5643,165.1333 +- 97.8636,92.1667 +- 25.0655,194.6333 +- 83.1245,91.9333 +- 28.0934,181.3333 +- 101.3694
problem_mknap4,265.6000 +- 20.7025,260.6000 +- 19.0383,270.7333 +- 18.1563,250.4667 +- 17.5356,131.0333 +- 38.4730,247.8333 +- 23.9599,121.7333 +- 37.3141,262.2333 +- 19.4895,175.8333 +- 69.5052,255.6667 +- 17.7809,205.2333 +- 64.1505,257.7667 +- 19.4753,247.6000 +- 26.1898,247.0333 +- 23.5760,258.1333 +- 34.0605,247.1000 +- 37.4353,129.0000 +- 36.7104,252.3333 +- 26.7109,129.4333 +- 49.7516,261.9333 +- 42.9739,174.0667 +- 66.0250,256.1333 +- 25.3700,183.1333 +- 70.9423,261.7333 +- 36.1595,280.1333 +- 22.5323,253.4667 +- 25.9106,276.7667 +- 21.2792,262.3000 +- 41.6199,131.4000 +- 26.8233,243.9667 +- 17.5489,107.7333 +- 35.1057,246.7667 +- 40.0764,166.4667 +- 48.6747,241.9667 +- 20.5065,171.1667 +- 61.4245,250.7667 +- 42.1432
problem_mknap5,281.3667 +- 38.9699,266.8333 +- 15.9678,282.7667 +- 47.0031,277.1667 +- 18.3737,197.3667 +- 94.7456,265.8667 +- 21.6775,193.7667 +- 88.8139,269.3000 +- 16.6571,295.2333 +- 29.9260,273.8000 +- 28.2738,312.0000 +- 24.3693,276.6667 +- 21.6737,270.4000 +- 41.7031,257.0667 +- 19.5182,284.6333 +- 40.3950,274.7333 +- 23.6307,245.2667 +- 78.1898,261.3333 +- 20.6152,251.1333 +- 93.6283,277.0000 +- 16.4631,292.9000 +- 23.5962,267.2333 +- 18.5076,311.4333 +- 29.5281,276.5000 +- 20.0461,287.0333 +- 41.2540,263.3667 +- 21.9553,293.0000 +- 45.5624,286.4333 +- 19.9390,226.5000 +- 85.8370,264.5333 +- 17.0329,251.2667 +- 92.2631,279.8667 +- 20.3635,302.6000 +- 20.4359,260.3000 +- 24.3157,307.4333 +- 48.7341,285.2000 +- 21.6292
problem_mknap6,286.1000 +- 20.7503,257.4000 +- 11.6192,306.6333 +- 16.2851,272.1333 +- 21.4665,285.4000 +- 25.4377,274.8000 +- 20.7836,305.0667 +- 38.2496,274.3333 +- 20.6937,309.5667 +- 21.1997,260.3333 +- 18.3460,325.1000 +- 24.8545,283.5000 +- 18.5561,281.3000 +- 17.6658,259.4000 +- 20.5554,318.2667 +- 23.1292,282.5000 +- 23.1930,294.5667 +- 24.2027,260.3000 +- 16.9383,317.6333 +- 34.8529,290.5333 +- 19.8264,303.9333 +- 19.5905,262.0667 +- 20.7978,338.0000 +- 16.2544,287.9000 +- 17.6310,287.5333 +- 22.1386,264.4333 +- 22.0668,315.8000 +- 20.1073,282.2667 +- 13.8886,291.5000 +- 38.8505,261.2000 +- 21.1194,328.2333 +- 22.1090,286.4333 +- 19.5107,307.5000 +- 19.6482,261.0333 +- 21.0426,347.3667 +- 21.5926,291.5000 +- 21.4954
problem_mknap7,303.8333 +- 22.1501,273.0333 +- 17.6567,322.8667 +- 20.6744,287.8000 +- 19.6476,315.4000 +- 30.2377,281.5000 +- 25.5866,341.0333 +- 35.5949,281.9000 +- 20.8051,324.5667 +- 15.8347,261.8000 +- 19.7596,355.9333 +- 21.8883,288.8667 +- 22.6848,305.5667 +- 18.4273,269.9000 +- 22.8780,332.0667 +- 19.1850,302.9333 +- 19.9325,313.5667 +- 20.5001,277.6667 +- 20.4928,350.2333 +- 18.7151,302.9333 +- 22.9451,330.5667 +- 17.4567,262.0000 +- 21.3558,358.8333 +- 20.7930,304.4333 +- 26.4323,304.5667 +- 22.6498,271.3333 +- 20.7536,347.3333 +- 22.5623,313.9333 +- 16.4420,311.9333 +- 32.6073,272.9333 +- 19.6450,351.3667 +- 26.9961,305.2333 +- 18.7886,326.3333 +- 20.6670,266.6667 +- 19.1911,376.6000 +- 22.7408,311.4000 +- 21.2467
problem_mknap8,351.6000 +- 19.0943,296.6000 +- 24.2822,400.0333 +- 33.0167,341.6333 +- 28.7780,389.4333 +- 23.3130,304.2000 +- 32.8207,419.2333 +- 22.9267,337.6000 +- 23.9001,400.5333 +- 17.7390,297.9000 +- 24.4334,445.2667 +- 24.2287,341.2667 +- 23.0546,356.0000 +- 19.3889,294.3667 +- 23.9719,417.8000 +- 27.4118,358.0333 +- 24.9820,386.4000 +- 19.4893,313.6333 +- 32.7314,444.0333 +- 24.2665,366.3000 +- 25.8539,413.5000 +- 24.9921,300.7667 +- 18.3710,468.3333 +- 24.5979,367.2667 +- 19.7483,365.4000 +- 20.8005,302.4000 +- 18.1727,449.8000 +- 22.9187,387.5333 +- 22.7425,387.3667 +- 15.6083,302.7667 +- 19.4523,451.2667 +- 20.2620,378.0667 +- 17.9058,414.3667 +- 27.6972,294.8667 +- 17.7254,485.8000 +- 22.4060,375.8333 +- 26.5045
problem_mknap9,361.6333 +- 27.2631,298.6000 +- 27.2759,402.1667 +- 26.4993,342.7000 +- 24.6970,375.5333 +- 21.8044,305.6333 +- 25.1471,421.4667 +- 28.0563,347.1333 +- 28.0857,418.7667 +- 25.1680,292.4333 +- 17.8339,452.0667 +- 22.9271,346.1667 +- 31.9235,376.3000 +- 27.1727,297.2333 +- 22.5751,436.7000 +- 24.8681,372.0333 +- 26.3262,384.5333 +- 18.5486,303.8333 +- 24.8736,419.5667 +- 42.6151,361.4667 +- 26.0195,408.8333 +- 32.7373,306.1000 +- 24.9197,474.3000 +- 31.6284,364.5667 +- 23.5514,361.5333 +- 31.7042,300.4333 +- 23.6113,441.2333 +- 22.1604,383.7000 +- 22.9289,388.8000 +- 22.6585,298.4333 +- 22.6467,450.7000 +- 22.0175,387.8333 +- 23.8112,420.5667 +- 27.1975,303.2333 +- 23.1780,488.1333 +- 29.0573,382.6667 +- 30.3875
problem_mknap10,353.8333 +- 19.6505,308.7333 +- 30.1158,403.7333 +- 33.3021,342.7000 +- 18.3325,387.6667 +- 26.1037,304.4667 +- 21.6822,429.5667 +- 27.9565,335.3333 +- 27.9128,410.2000 +- 37.3551,298.1667 +- 35.5228,445.2333 +- 21.4969,334.4333 +- 18.9130,359.8667 +- 27.8552,313.8333 +- 24.9732,431.3000 +- 23.8547,362.8000 +- 21.3306,376.5000 +- 21.8328,301.8333 +- 34.8297,442.1000 +- 23.9617,370.8000 +- 29.5826,414.0333 +- 32.7071,295.0333 +- 22.1694,469.6667 +- 21.3369,367.5000 +- 30.0915,367.5000 +- 26.3226,308.0000 +- 35.4702,433.3000 +- 34.7842,383.6000 +- 29.3453,384.2000 +- 22.8751,305.7333 +- 33.4540,462.7333 +- 22.7868,390.5000 +- 18.7115,415.6667 +- 25.4373,294.3333 +- 21.9204,482.3333 +- 29.9106,397.2667 +- 34.9837
