Problem,0.5,0.75,0.9,0.99
problem_mknap1,51.8333 +- 18.0442,43.8667 +- 9.9194,46.9000 +- 13.4558,44.1000 +- 7.5263
problem_mknap2,105.6000 +- 37.3664,90.2000 +- 32.3157,75.6000 +- 24.6934,72.7000 +- 17.8483
problem_mknap3,221.4000 +- 52.2241,196.9667 +- 52.9095,145.0000 +- 65.3030,118.0000 +- 33.6216
problem_mknap4,254.6667 +- 34.0702,249.6000 +- 33.3804,246.5333 +- 41.8451,228.5333 +- 38.0524
problem_mknap5,295.6000 +- 25.9051,294.7333 +- 19.6661,291.3333 +- 47.3158,277.1000 +- 46.8338
problem_mknap6,271.2000 +- 13.6821,271.8667 +- 19.8177,283.1667 +- 18.5530,278.0333 +- 17.6937
problem_mknap7,298.4000 +- 30.1600,301.0333 +- 34.4418,294.5000 +- 17.2222,306.8667 +- 29.6575
problem_mknap8,372.8333 +- 27.9409,371.6333 +- 22.4952,373.2000 +- 28.8389,397.4333 +- 28.7986
problem_mknap9,373.5667 +- 24.0211,369.8000 +- 23.4541,368.8333 +- 21.8917,386.8000 +- 29.8657
problem_mknap10,374.7333 +- 17.5144,379.6667 +- 22.9066,382.3667 +- 24.5631,372.0333 +- 27.4144
problem_mknap11,377.2000 +- 24.0694,362.1000 +- 24.1937,366.0667 +- 22.6639,400.0667 +- 21.5101
problem_mknap12,371.2333 +- 25.5177,381.4667 +- 35.1153,375.8000 +- 28.6385,377.2333 +- 24.5127
problem_mknap13,367.8333 +- 26.6123,379.0000 +- 26.0900,382.4000 +- 25.2499,382.2000 +- 31.1453
problem_mknap14,368.1667 +- 17.8520,326.5333 +- 56.8663,378.5667 +- 16.8660,376.6000 +- 29.7664
problem_mknap15,244.1667 +- 19.4512,329.6667 +- 44.2332,319.1667 +- 59.7501,336.5667 +- 50.0301
